numero,date,site,objet,detail
1,03/02,Magasin Rennes-Centre,Recherche matériel,"Scanner d'inventaire introuvable, 3 appels à l'entrepôt, localisé le lendemain au magasin de Quimper"
2,10/02,Entrepôt Nord,Double réservation,"Chariot de réassort promis à deux magasins pour la même semaine, arbitrage manuel"
3,14/02,Magasin Nantes-Sud,Panne non signalée,"Transpalette électrique hors service découvert au démarrage d'une tournée réassort"
4,21/02,Entrepôt Sud,Location externe,"Location transpalette 5 jours (prestataire) — 2 unités internes non localisées à ce moment"
5,28/02,Magasin Quimper,Recherche matériel,"Scanner d'inventaire cherché 2 jours, location externe déclenchée"
6,05/03,Entrepôt Nord,Inventaire,"Écart inventaire trimestriel : 14 équipements non localisés sur 210"
7,12/03,Magasin Rennes-Centre,Double réservation,"Deux équipes venues chercher le même chariot de réassort sur des créneaux qui se chevauchent, une équipe repartie sans matériel"
8,15/03,Magasin Quimper,Panne non signalée,"Transpalette en surchauffe utilisé malgré un défaut connu d'un utilisateur précédent"
9,19/03,Entrepôt Sud,Retour non saisi,"6 retours de matériel du vendredi saisis le mercredi suivant"
10,26/03,Magasin Rennes-Centre,Location externe,"Chariot de réassort loué 8 jours alors qu'une unité était disponible à l'entrepôt Sud"
11,02/04,Entrepôt Nord,Écart de localisation,"Transpalette enregistré à l'entrepôt, retrouvé au magasin de Quimper (transfert non déclaré entre magasins)"
12,09/04,Magasin Nantes-Sud,Recherche matériel,"2 h cumulées de recherche d'un lecteur de code-barres, retrouvé dans la réserve d'un autre rayon"
13,16/04,Magasin Quimper,Panne à réception,"Bac de manutention roulant reçu en panne (roue bloquée), panne non mentionnée par le site précédent"
14,23/04,Entrepôt Sud,Location externe,"3e location de scanner d'inventaire du mois — parc interne théoriquement suffisant"
15,30/04,Magasin Nantes-Sud,Retour non saisi,"État des lieux de retour incomplet, heures d'utilisation non renseignées, litige sur une casse"
